zone_id,district,zone_type,latitude,longitude,population_density,daytime_population,avg_income,bike_infra_km,micro_mobility_lanes_km,transit_stops,competitor_density,tourist_index,weather_penalty,event_count,existing_parking_spots,safety_incidents,current_station_count,future_growth_index,micromobility_friendly_score,suitability_score,avg_daily_trips
MSK_0000,НАО,жилой массив,55.46672140326132,37.53404504341927,4293.241343825463,2000.0,550.0,0.0,3.0942615974081398,0,0.1,0.05,0.22,2.0,0,1.0,0,0.20009999084982347,0.1427902956150325,0.06102600283035252,77.0872807924987
MSK_0001,ЗАО,деловой кластер,55.65179540768534,37.47768493681866,8006.8613220812895,3437.759336099585,589.9049881235154,1.9035283612617802,15.868118562018482,14,0.5,0.07045454545454546,0.22,11.333333333333332,8,6.116941206606961,1,0.21841173347288345,1.0,0.4866131207254767,196.25167380313349
MSK_0002,ВАО,деловой кластер,55.711209950229176,37.92441090549316,7144.069486981025,2958.50622406639,579.9287410926365,1.6624661806338388,13.591877691631538,4,0.1,0.05,0.22,6.307692307692308,12,4.292987348806086,0,0.20107208000006424,0.8757642710532035,0.4032419991766667,172.90775976946668
MSK_0003,НАО,деловой кластер,55.64667191680315,37.323722223630575,4768.906116746604,2479.253112033195,564.9643705463183,0.12742107546712703,5.149064163570841,6,0.1,0.13181818181818183,0.22,2.717948717948718,9,1.0,0,0.26844400350345454,0.2566626176025642,0.1342015656194785,97.57643837345398
MSK_0004,ЗАО,транспортный хаб,55.72945845128826,37.51656886767573,4492.412843522279,2205.394190871369,554.9881235154394,0.0,8.068952454330184,10,0.1,0.05,0.22,3.435897435897436,3,1.0,0,0.2001679053098225,0.37235639909131946,0.1750654772478841,109.01833362940755
MSK_0005,ТАО,жилой массив,55.38043175540069,37.212987286860844,4000.0,2000.0,550.0,0.0,0.0,0,0.1,0.05,0.22,2.0,0,3.074980909087878,0,0.2,0.0,0.0,60.0
MSK_0006,СВАО,деловой кластер,55.9048501446334,37.58060699917783,9385.174005298188,5286.307053941909,647.2684085510689,0.9169157833805821,12.991899047933774,14,0.1,0.05,0.22,10.615384615384617,10,1.673539599909593,0,0.20183626264363821,0.7366156797708845,0.40414726000870255,173.1612328024367
MSK_0007,ЗАО,транспортный хаб,55.75413410161311,37.37071691732875,4000.0,2000.0,550.0,0.0,3.3046898912556792,6,0.1,0.05,0.22,2.717948717948718,0,5.2852768595329325,0,0.2,0.15250088967386244,0.07239276093283611,80.26997306119411
MSK_0008,НАО,жилой массив,55.544317806102846,37.430486654167396,4000.0,2000.0,550.0,0.0,0.946272112826281,0,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.04366743743835555,0.01746697497534222,64.89075299309582
MSK_0009,ЦАО,деловой кластер,55.746183576128615,37.657890610407065,9929.404052800683,16103.734439834025,889.1923990498813,0.0,24.91664082946205,24,2.1,0.09090909090909091,0.22,9.897435897435898,27,7.120838624296718,5,0.23611274592486894,1.0,0.5674840956537835,218.8955467830594
MSK_0010,НАО,транспортный хаб,55.60535292692647,37.47104660223392,5067.847065755694,2616.182572614108,572.4465558194775,0.0,8.522134935575272,14,0.1,0.05,0.22,2.717948717948718,12,1.0,0,0.20036411965036538,0.3932693240097373,0.20069328962673333,116.19412109548533
MSK_0011,НАО,деловой кластер,55.52601978496641,37.26669736088156,4000.0,2136.9294605809127,552.4940617577197,0.0,0.0,0,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.0,0.0002850356294536817,60.079809976247034
MSK_0012,ТАО,жилой массив,55.15627916634672,37.040116554717706,4000.0,2000.0,550.0,0.0,0.0,0,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.0,0.0,60.0
MSK_0013,ЮВАО,деловой кластер,55.6947914758273,37.78279043700168,6358.740410711771,3711.6182572614107,602.375296912114,0.0,15.93326074622616,12,0.1,0.13181818181818183,0.22,4.153846153846154,1,1.0,0,0.26898611288018237,0.7352691233251712,0.3625098979998199,161.50277143994958
MSK_0014,ТАО,туристический кластер,55.358516187525225,37.40431448674135,4103.980191581456,2000.0,550.0,0.0,1.0524488872041293,0,0.1,0.07045454545454546,0.22,2.0,0,1.0,0,0.21708091021342213,0.04856715665200024,0.022858719760674058,66.40044153298874
MSK_0015,ТАО,деловой кластер,55.43460079781416,37.2774307677809,4383.694793980712,2616.182572614108,572.4465558194775,0.0,1.045554662913887,0,0.1,0.05,0.22,2.717948717948718,1,6.010636602669178,0,0.20013083410416305,0.048249010207864866,0.02698085533463858,67.5546394936988
MSK_0016,ВАО,жилой массив,55.86474942868738,37.75273046079341,4000.0,2000.0,550.0,0.0,5.787300777042271,0,0.1,0.05,0.22,2.0,0,5.303238483718863,0,0.2,0.26706545738058135,0.10682618295223255,89.91133122662511
MSK_0017,НАО,транспортный хаб,55.47226219380816,37.48604350433789,4000.0,2000.0,550.0,0.0,0.25833639328310143,6,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.011921399921685338,0.016160965031965277,64.52507020895028
MSK_0018,ТАО,жилой массив,55.392717397392104,37.14076802180123,4000.0,2000.0,550.0,0.0,0.0,0,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.0,0.0,60.0
MSK_0019,НАО,транспортный хаб,55.56784753724465,37.404074292003145,4000.0,2000.0,550.0,0.0,1.386445381715694,8,0.1,0.05,0.22,2.717948717948718,1,1.0,0,0.2,0.06398002873289958,0.040781884910881354,71.41892777504678
MSK_0020,ЗАО,транспортный хаб,55.669029624460656,37.41624387396426,4618.898179491534,2068.4647302904564,552.4940617577197,0.0,1.8503856131637058,12,0.1,0.05,0.22,2.0,0,1.0,0,0.2002110348906271,0.0853893894836707,0.06547757727605803,78.33372163729625
MSK_0021,ВАО,жилой массив,55.82936350735002,37.792441235925295,4000.0,2000.0,550.0,0.0,5.043510599486007,0,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.23274191491805063,0.09309676596722026,86.06709447082167
MSK_0022,ТАО,деловой кластер,55.26519928829163,37.10903948263056,4000.0,2479.253112033195,562.4703087885986,0.0,2.623223759711251,0,0.1,0.05,0.22,2.0,0,2.3637478799895724,0,0.2,0.12105340299194484,0.04984653934404635,73.95703101633298
MSK_0023,ТАО,жилой массив,55.41325636585695,37.06753699927751,4000.0,2000.0,550.0,0.0,0.0,0,0.1,0.05,0.22,2.0,0,1.0,0,0.2,0.0,0.0,60.0
